dataset name,sample id,dimension,score
TIGER-Lab/MMLU-Pro_annotation,10024,Causal Reasoning,0
TIGER-Lab/MMLU-Pro_annotation,10024,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10024,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10024,Episodic Memory,1
TIGER-Lab/MMLU-Pro_annotation,10024,Functional Perception,0
TIGER-Lab/MMLU-Pro_annotation,10024,Inhibitory Control,1
TIGER-Lab/MMLU-Pro_annotation,10024,Language,1
TIGER-Lab/MMLU-Pro_annotation,10024,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10024,Metacognition,1
TIGER-Lab/MMLU-Pro_annotation,10024,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10024,Perception and Pattern Recognition,0
TIGER-Lab/MMLU-Pro_annotation,10024,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10024,Procedural Memory,0
TIGER-Lab/MMLU-Pro_annotation,10024,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10024,Semantic Memory,4
TIGER-Lab/MMLU-Pro_annotation,10024,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10024,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10024,Working Memory,0
TIGER-Lab/MMLU-Pro_annotation,10024,ambiguity,5
TIGER-Lab/MMLU-Pro_annotation,10024,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10306,Causal Reasoning,1
TIGER-Lab/MMLU-Pro_annotation,10306,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10306,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10306,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10306,Functional Perception,2
TIGER-Lab/MMLU-Pro_annotation,10306,Inhibitory Control,1
TIGER-Lab/MMLU-Pro_annotation,10306,Language,1
TIGER-Lab/MMLU-Pro_annotation,10306,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10306,Metacognition,2
TIGER-Lab/MMLU-Pro_annotation,10306,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10306,Perception and Pattern Recognition,2
TIGER-Lab/MMLU-Pro_annotation,10306,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10306,Procedural Memory,3
TIGER-Lab/MMLU-Pro_annotation,10306,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10306,Semantic Memory,4
TIGER-Lab/MMLU-Pro_annotation,10306,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10306,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10306,Working Memory,2
TIGER-Lab/MMLU-Pro_annotation,10306,ambiguity,4
TIGER-Lab/MMLU-Pro_annotation,10306,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10343,Causal Reasoning,0
TIGER-Lab/MMLU-Pro_annotation,10343,Cognitive Flexibility,2
TIGER-Lab/MMLU-Pro_annotation,10343,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10343,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10343,Functional Perception,3
TIGER-Lab/MMLU-Pro_annotation,10343,Inhibitory Control,4
TIGER-Lab/MMLU-Pro_annotation,10343,Language,1
TIGER-Lab/MMLU-Pro_annotation,10343,Mental Simulation,2
TIGER-Lab/MMLU-Pro_annotation,10343,Metacognition,4
TIGER-Lab/MMLU-Pro_annotation,10343,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10343,Perception and Pattern Recognition,0
TIGER-Lab/MMLU-Pro_annotation,10343,Planning,2
TIGER-Lab/MMLU-Pro_annotation,10343,Procedural Memory,4
TIGER-Lab/MMLU-Pro_annotation,10343,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10343,Semantic Memory,3
TIGER-Lab/MMLU-Pro_annotation,10343,Spatial Reasoning and Navigation,4
TIGER-Lab/MMLU-Pro_annotation,10343,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10343,Working Memory,3
TIGER-Lab/MMLU-Pro_annotation,10343,ambiguity,5
TIGER-Lab/MMLU-Pro_annotation,10343,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10400,Causal Reasoning,1
TIGER-Lab/MMLU-Pro_annotation,10400,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10400,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10400,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10400,Functional Perception,1
TIGER-Lab/MMLU-Pro_annotation,10400,Inhibitory Control,2
TIGER-Lab/MMLU-Pro_annotation,10400,Language,1
TIGER-Lab/MMLU-Pro_annotation,10400,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10400,Metacognition,2
TIGER-Lab/MMLU-Pro_annotation,10400,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10400,Perception and Pattern Recognition,1
TIGER-Lab/MMLU-Pro_annotation,10400,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10400,Procedural Memory,1
TIGER-Lab/MMLU-Pro_annotation,10400,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10400,Semantic Memory,2
TIGER-Lab/MMLU-Pro_annotation,10400,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10400,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10400,Working Memory,1
TIGER-Lab/MMLU-Pro_annotation,10400,ambiguity,5
TIGER-Lab/MMLU-Pro_annotation,10400,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10447,Causal Reasoning,0
TIGER-Lab/MMLU-Pro_annotation,10447,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10447,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10447,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10447,Functional Perception,1
TIGER-Lab/MMLU-Pro_annotation,10447,Inhibitory Control,1
TIGER-Lab/MMLU-Pro_annotation,10447,Language,1
TIGER-Lab/MMLU-Pro_annotation,10447,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10447,Metacognition,1
TIGER-Lab/MMLU-Pro_annotation,10447,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10447,Perception and Pattern Recognition,2
TIGER-Lab/MMLU-Pro_annotation,10447,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10447,Procedural Memory,0
TIGER-Lab/MMLU-Pro_annotation,10447,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10447,Semantic Memory,2
TIGER-Lab/MMLU-Pro_annotation,10447,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10447,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10447,Working Memory,2
TIGER-Lab/MMLU-Pro_annotation,10447,ambiguity,5
TIGER-Lab/MMLU-Pro_annotation,10447,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10452,Causal Reasoning,1
TIGER-Lab/MMLU-Pro_annotation,10452,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10452,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10452,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10452,Functional Perception,2
TIGER-Lab/MMLU-Pro_annotation,10452,Inhibitory Control,2
TIGER-Lab/MMLU-Pro_annotation,10452,Language,2
TIGER-Lab/MMLU-Pro_annotation,10452,Mental Simulation,1
TIGER-Lab/MMLU-Pro_annotation,10452,Metacognition,3
TIGER-Lab/MMLU-Pro_annotation,10452,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10452,Perception and Pattern Recognition,2
TIGER-Lab/MMLU-Pro_annotation,10452,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10452,Procedural Memory,0
TIGER-Lab/MMLU-Pro_annotation,10452,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10452,Semantic Memory,3
TIGER-Lab/MMLU-Pro_annotation,10452,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10452,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10452,Working Memory,2
TIGER-Lab/MMLU-Pro_annotation,10452,ambiguity,5
TIGER-Lab/MMLU-Pro_annotation,10452,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10454,Causal Reasoning,2
TIGER-Lab/MMLU-Pro_annotation,10454,Cognitive Flexibility,3
TIGER-Lab/MMLU-Pro_annotation,10454,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10454,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10454,Functional Perception,3
TIGER-Lab/MMLU-Pro_annotation,10454,Inhibitory Control,1
TIGER-Lab/MMLU-Pro_annotation,10454,Language,3
TIGER-Lab/MMLU-Pro_annotation,10454,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10454,Metacognition,3
TIGER-Lab/MMLU-Pro_annotation,10454,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10454,Perception and Pattern Recognition,3
TIGER-Lab/MMLU-Pro_annotation,10454,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10454,Procedural Memory,0
TIGER-Lab/MMLU-Pro_annotation,10454,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10454,Semantic Memory,4
TIGER-Lab/MMLU-Pro_annotation,10454,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10454,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10454,Working Memory,3
TIGER-Lab/MMLU-Pro_annotation,10454,ambiguity,4
TIGER-Lab/MMLU-Pro_annotation,10454,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10478,Causal Reasoning,1
TIGER-Lab/MMLU-Pro_annotation,10478,Cognitive Flexibility,2
TIGER-Lab/MMLU-Pro_annotation,10478,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10478,Episodic Memory,1
TIGER-Lab/MMLU-Pro_annotation,10478,Functional Perception,2
TIGER-Lab/MMLU-Pro_annotation,10478,Inhibitory Control,2
TIGER-Lab/MMLU-Pro_annotation,10478,Language,1
TIGER-Lab/MMLU-Pro_annotation,10478,Mental Simulation,1
TIGER-Lab/MMLU-Pro_annotation,10478,Metacognition,2
TIGER-Lab/MMLU-Pro_annotation,10478,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10478,Perception and Pattern Recognition,2
TIGER-Lab/MMLU-Pro_annotation,10478,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10478,Procedural Memory,3
TIGER-Lab/MMLU-Pro_annotation,10478,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10478,Semantic Memory,2
TIGER-Lab/MMLU-Pro_annotation,10478,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10478,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10478,Working Memory,3
TIGER-Lab/MMLU-Pro_annotation,10478,ambiguity,5
TIGER-Lab/MMLU-Pro_annotation,10478,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10479,Causal Reasoning,0
TIGER-Lab/MMLU-Pro_annotation,10479,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10479,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10479,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10479,Functional Perception,2
TIGER-Lab/MMLU-Pro_annotation,10479,Inhibitory Control,3
TIGER-Lab/MMLU-Pro_annotation,10479,Language,2
TIGER-Lab/MMLU-Pro_annotation,10479,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10479,Metacognition,3
TIGER-Lab/MMLU-Pro_annotation,10479,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10479,Perception and Pattern Recognition,2
TIGER-Lab/MMLU-Pro_annotation,10479,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10479,Procedural Memory,0
TIGER-Lab/MMLU-Pro_annotation,10479,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10479,Semantic Memory,4
TIGER-Lab/MMLU-Pro_annotation,10479,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10479,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10479,Working Memory,3
TIGER-Lab/MMLU-Pro_annotation,10479,ambiguity,4
TIGER-Lab/MMLU-Pro_annotation,10479,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10510,Causal Reasoning,0
TIGER-Lab/MMLU-Pro_annotation,10510,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10510,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10510,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10510,Functional Perception,0
TIGER-Lab/MMLU-Pro_annotation,10510,Inhibitory Control,1
TIGER-Lab/MMLU-Pro_annotation,10510,Language,1
TIGER-Lab/MMLU-Pro_annotation,10510,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10510,Metacognition,1
TIGER-Lab/MMLU-Pro_annotation,10510,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10510,Perception and Pattern Recognition,1
TIGER-Lab/MMLU-Pro_annotation,10510,Planning,1
TIGER-Lab/MMLU-Pro_annotation,10510,Procedural Memory,2
TIGER-Lab/MMLU-Pro_annotation,10510,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10510,Semantic Memory,1
TIGER-Lab/MMLU-Pro_annotation,10510,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10510,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10510,Working Memory,1
TIGER-Lab/MMLU-Pro_annotation,10510,ambiguity,5
TIGER-Lab/MMLU-Pro_annotation,10510,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10520,Causal Reasoning,1
TIGER-Lab/MMLU-Pro_annotation,10520,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10520,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10520,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10520,Functional Perception,2
TIGER-Lab/MMLU-Pro_annotation,10520,Inhibitory Control,1
TIGER-Lab/MMLU-Pro_annotation,10520,Language,2
TIGER-Lab/MMLU-Pro_annotation,10520,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10520,Metacognition,1
TIGER-Lab/MMLU-Pro_annotation,10520,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10520,Perception and Pattern Recognition,0
TIGER-Lab/MMLU-Pro_annotation,10520,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10520,Procedural Memory,0
TIGER-Lab/MMLU-Pro_annotation,10520,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10520,Semantic Memory,3
TIGER-Lab/MMLU-Pro_annotation,10520,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10520,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10520,Working Memory,2
TIGER-Lab/MMLU-Pro_annotation,10520,ambiguity,5
TIGER-Lab/MMLU-Pro_annotation,10520,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10582,Causal Reasoning,1
TIGER-Lab/MMLU-Pro_annotation,10582,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10582,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10582,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10582,Functional Perception,2
TIGER-Lab/MMLU-Pro_annotation,10582,Inhibitory Control,1
TIGER-Lab/MMLU-Pro_annotation,10582,Language,1
TIGER-Lab/MMLU-Pro_annotation,10582,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10582,Metacognition,2
TIGER-Lab/MMLU-Pro_annotation,10582,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10582,Perception and Pattern Recognition,2
TIGER-Lab/MMLU-Pro_annotation,10582,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10582,Procedural Memory,0
TIGER-Lab/MMLU-Pro_annotation,10582,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10582,Semantic Memory,2
TIGER-Lab/MMLU-Pro_annotation,10582,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10582,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10582,Working Memory,2
TIGER-Lab/MMLU-Pro_annotation,10582,ambiguity,4
TIGER-Lab/MMLU-Pro_annotation,10582,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10689,Causal Reasoning,1
TIGER-Lab/MMLU-Pro_annotation,10689,Cognitive Flexibility,2
TIGER-Lab/MMLU-Pro_annotation,10689,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10689,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10689,Functional Perception,2
TIGER-Lab/MMLU-Pro_annotation,10689,Inhibitory Control,1
TIGER-Lab/MMLU-Pro_annotation,10689,Language,2
TIGER-Lab/MMLU-Pro_annotation,10689,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10689,Metacognition,2
TIGER-Lab/MMLU-Pro_annotation,10689,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10689,Perception and Pattern Recognition,2
TIGER-Lab/MMLU-Pro_annotation,10689,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10689,Procedural Memory,0
TIGER-Lab/MMLU-Pro_annotation,10689,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10689,Semantic Memory,3
TIGER-Lab/MMLU-Pro_annotation,10689,Spatial Reasoning and Navigation,1
TIGER-Lab/MMLU-Pro_annotation,10689,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10689,Working Memory,2
TIGER-Lab/MMLU-Pro_annotation,10689,ambiguity,5
TIGER-Lab/MMLU-Pro_annotation,10689,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10832,Causal Reasoning,0
TIGER-Lab/MMLU-Pro_annotation,10832,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10832,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10832,Episodic Memory,1
TIGER-Lab/MMLU-Pro_annotation,10832,Functional Perception,0
TIGER-Lab/MMLU-Pro_annotation,10832,Inhibitory Control,1
TIGER-Lab/MMLU-Pro_annotation,10832,Language,1
TIGER-Lab/MMLU-Pro_annotation,10832,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10832,Metacognition,1
TIGER-Lab/MMLU-Pro_annotation,10832,Object Permanence,0
TIGER-Lab/MMLU-Pro_annotation,10832,Perception and Pattern Recognition,0
TIGER-Lab/MMLU-Pro_annotation,10832,Planning,0
TIGER-Lab/MMLU-Pro_annotation,10832,Procedural Memory,0
TIGER-Lab/MMLU-Pro_annotation,10832,Prospective Memory,0
TIGER-Lab/MMLU-Pro_annotation,10832,Semantic Memory,3
TIGER-Lab/MMLU-Pro_annotation,10832,Spatial Reasoning and Navigation,0
TIGER-Lab/MMLU-Pro_annotation,10832,Theory of Mind,0
TIGER-Lab/MMLU-Pro_annotation,10832,Working Memory,1
TIGER-Lab/MMLU-Pro_annotation,10832,ambiguity,5
TIGER-Lab/MMLU-Pro_annotation,10832,factuality,1
TIGER-Lab/MMLU-Pro_annotation,10852,Causal Reasoning,0
TIGER-Lab/MMLU-Pro_annotation,10852,Cognitive Flexibility,0
TIGER-Lab/MMLU-Pro_annotation,10852,Emotion Perception and Empathy,0
TIGER-Lab/MMLU-Pro_annotation,10852,Episodic Memory,0
TIGER-Lab/MMLU-Pro_annotation,10852,Functional Perception,2
TIGER-Lab/MMLU-Pro_annotation,10852,Inhibitory Control,2
TIGER-Lab/MMLU-Pro_annotation,10852,Language,1
TIGER-Lab/MMLU-Pro_annotation,10852,Mental Simulation,0
TIGER-Lab/MMLU-Pro_annotation,10852,Metacognition,2
